RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASSYDS,PASSTD,REC,RECYDS,RECTD,ATT,RUSHYDS,RUSHTD
280,12,Hassan Haskins,TEN,0,0,0,0,0,0,0,0,0
281,12,William Fuller V,FA,4.6,0,0,4,26,0,0,0,0
282,12,Chicago Bears,CHI,105,0,0,0,0,0,0,0,0
283,12,Washington Commanders,WAS,92,0,0,0,0,0,0,0,0
284,12,Myles Gaskin,MIA,124.6,0,0,49,234,4,173,612,3
285,12,Greg Joseph,MIN,156,0,0,0,0,0,0,0,0
286,12,Odell Beckham Jr.,FA,85.1,0,0,44,537,5,2,14,0
287,12,Graham Gano,NYG,123,0,0,0,0,0,0,0,0
288,12,Ke'Shawn Vaughn,TB,32.6,0,0,4,26,0,36,180,2
289,12,Jason Myers,SEA,104,0,0,0,0,0,0,0,0
290,12,Trey McBride,ARI,0,0,0,0,0,0,0,0,0
291,12,O.J. Howard,BUF,19.5,0,0,14,135,1,0,0,0
292,12,Phillip Lindsay,IND,41.4,0,0,4,45,1,88,249,1
293,12,Joshua Kelley,LAC,12,0,0,5,38,0,33,102,0
294,12,New York Giants,NYG,86,0,0,0,0,0,0,0,0
295,12,Kenny Pickett,PIT,0,0,0,0,0,0,0,0,0
296,12,Drew Lock,SEA,52.88,787,2,0,0,0,10,53,2
297,12,Seattle Seahawks,SEA,95,0,0,0,0,0,0,0,0
298,12,Randy Bullock,TEN,130,0,0,0,0,0,0,0,0
299,12,Cairo Santos,CHI,116,0,0,0,0,0,0,0,0
300,12,New York Jets,NYJ,58,0,0,0,0,0,0,0,0
301,12,Josh Reynolds,DET,51.6,0,0,29,396,2,0,0,0
302,12,Chris Evans,CIN,34.8,0,0,15,151,2,17,77,0
303,12,Kyle Rudolph,TB,33.7,0,0,26,257,1,0,0,0
304,12,Ka'imi Fairbairn,HOU,68,0,0,0,0,0,0,0,0
305,12,Quez Watkins,PHI,73,0,0,43,647,1,1,3,0
306,12,Jacoby Brissett,CLE,76.32,1283,5,0,0,0,19,70,1
307,13,Tre'Quan Smith,NO,55.7,0,0,32,377,3,0,0,0
308,13,Jimmy Garoppolo,SF,239.5,3810,20,0,0,0,38,51,3
309,13,Darius Slayton,NYG,42.6,0,0,26,339,2,1,-13,0
310,13,Jacksonville Jaguars,JAC,64,0,0,0,0,0,0,0,0
311,13,Velus Jones Jr.,CHI,0,0,0,0,0,0,0,0,0
